LatitudeDecimal,LongitudeDecimal,Situacao,MediaDiasAposInicioCiclo,QuantidadeDeAnosUsados,QuantidadeDeAnosPositivos
-25.712576456826035,-54.51381532775804,Encerrado sem esporos,-1,3,0
-25.52993181152169,-54.51381532775804,Encerrado sem esporos,-1,3,0
-25.34728716621733,-54.51381532775804,Encerrado sem esporos,-1,3,0
-25.16464252091299,-54.51381532775804,Encerrado sem esporos,-1,3,0
-24.98199787560864,-54.51381532775804,Encerrado sem esporos,-1,3,0
-25.529931811521685,-54.30101933127416,Encerrado sem esporos,-1,3,0
-25.34728716621733,-54.30101933127416,Encerrado sem esporos,-1,3,0
-25.164642520912995,-54.30101933127416,Com esporos,87.0,3,1
-24.98199787560864,-54.30101933127416,Com esporos,90.07219326740075,3,2
-24.79935323030429,-54.30101933127416,Com esporos,71.78019384224083,3,3
-24.616708584999948,-54.30101933127416,Com esporos,89.19641248391102,3,2
-24.434063939695594,-54.30101933127416,Encerrado sem esporos,-1,3,0
-24.251419294391244,-54.30101933127416,Com esporos,151.0,3,1
-24.068774649086897,-54.30101933127416,Com esporos,95.72878355019455,3,2
-25.52993181152169,-54.088223334790285,Com esporos,159.99999999999994,3,1
-25.34728716621733,-54.088223334790285,Com esporos,94.06380813043876,3,2
-25.16464252091299,-54.088223334790285,Encerrado sem esporos,-1,3,0
-24.98199787560864,-54.088223334790285,Com esporos,115.36897329871665,3,2
-24.79935323030429,-54.088223334790285,Com esporos,95.61448401310935,3,3
-24.616708584999945,-54.088223334790285,Com esporos,86.83317338436962,3,2
-24.434063939695594,-54.088223334790285,Com esporos,88.00000000000003,3,1
-24.251419294391248,-54.088223334790285,Com esporos,109.95800049498082,3,3
-24.0687746490869,-54.088223334790285,Encerrado sem esporos,-1,3,0
-23.88613000378255,-54.088223334790285,Encerrado sem esporos,-1,3,0
-23.703485358478208,-54.088223334790285,Encerrado sem esporos,-1,3,0
-25.89522110213038,-53.875427338306416,Encerrado sem esporos,-1,3,0
-25.712576456826035,-53.875427338306416,Com esporos,116.27553482998898,3,2
-25.52993181152169,-53.87542733830642,Com esporos,119.00000000000003,3,1
-25.34728716621733,-53.875427338306416,Encerrado sem esporos,-1,3,0
-25.16464252091299,-53.875427338306416,Com esporos,98.44810754926343,3,3
-24.98199787560864,-53.87542733830642,Com esporos,108.88881291740425,3,3
-24.79935323030429,-53.875427338306416,Com esporos,105.92450141492289,3,2
-24.616708584999945,-53.87542733830642,Com esporos,89.8575111548887,3,3
-24.434063939695594,-53.875427338306416,Com esporos,99.19677414109796,3,2
-24.251419294391248,-53.87542733830642,Com esporos,108.07404868885034,3,2
-24.0687746490869,-53.875427338306416,Encerrado sem esporos,-1,3,0
-23.88613000378255,-53.875427338306416,Encerrado sem esporos,-1,3,0
-23.703485358478208,-53.87542733830642,Encerrado sem esporos,-1,3,0
-23.520840713173857,-53.875427338306416,Encerrado sem esporos,-1,3,0
-23.33819606786951,-53.875427338306416,Encerrado sem esporos,-1,3,0
-26.260510392739075,-53.66263134182254,Encerrado sem esporos,-1,3,0
-26.07786574743473,-53.66263134182255,Encerrado sem esporos,-1,3,0
-25.89522110213038,-53.66263134182254,Com esporos,142.71650219929023,3,2
-25.712576456826035,-53.66263134182254,Com esporos,119.99999999999997,3,1
-25.52993181152169,-53.66263134182255,Com esporos,115.00000000000001,3,1
-25.34728716621733,-53.66263134182254,Encerrado sem esporos,-1,3,0
-25.16464252091299,-53.66263134182254,Com esporos,152.99999999999997,3,1
-24.98199787560864,-53.66263134182255,Com esporos,152.99999999999997,3,1
-24.79935323030429,-53.66263134182254,Com esporos,79.99999999999997,3,1
-24.616708584999945,-53.66263134182255,Com esporos,131.99999999999997,3,1
-24.434063939695594,-53.66263134182254,Encerrado sem esporos,-1,3,0
-24.251419294391248,-53.66263134182255,Com esporos,146.0,3,1
-24.0687746490869,-53.66263134182254,Encerrado sem esporos,-1,3,0
-23.88613000378255,-53.66263134182254,Encerrado sem esporos,-1,3,0
-23.703485358478208,-53.66263134182255,Encerrado sem esporos,-1,3,0
-23.520840713173857,-53.66263134182254,Encerrado sem esporos,-1,3,0
-23.33819606786951,-53.66263134182254,Encerrado sem esporos,-1,3,0
-23.155551422565164,-53.66263134182255,Encerrado sem esporos,-1,3,0
