LatitudeDecimal,LongitudeDecimal,Situacao,MediaDiasAposInicioCiclo,QuantidadeDeAnosUsados,QuantidadeDeAnosPositivos
-25.712576456826035,-54.51381532775804,Encerrado sem esporos,-1,3,0
-25.52993181152169,-54.51381532775804,Encerrado sem esporos,-1,3,0
-25.34728716621733,-54.51381532775804,Encerrado sem esporos,-1,3,0
-25.16464252091299,-54.51381532775804,Encerrado sem esporos,-1,3,0
-24.98199787560864,-54.51381532775804,Encerrado sem esporos,-1,3,0
-25.529931811521685,-54.30101933127416,Encerrado sem esporos,-1,3,0
-25.34728716621733,-54.30101933127416,Encerrado sem esporos,-1,3,0
-25.164642520912995,-54.30101933127416,Com esporos,87.0,3,1
-24.98199787560864,-54.30101933127416,Com esporos,83.63917525773196,3,2
-24.79935323030429,-54.30101933127416,Com esporos,66.66987140968634,3,3
-24.616708584999948,-54.30101933127416,Com esporos,77.61951219512194,3,2
-24.434063939695594,-54.30101933127416,Encerrado sem esporos,-1,3,0
-24.251419294391244,-54.30101933127416,Com esporos,151.0,3,1
-24.068774649086897,-54.30101933127416,Com esporos,93.9897435897436,3,2
-25.52993181152169,-54.088223334790285,Com esporos,160.0,3,1
-25.34728716621733,-54.088223334790285,Com esporos,92.64921465968587,3,2
-25.16464252091299,-54.088223334790285,Encerrado sem esporos,-1,3,0
-24.98199787560864,-54.088223334790285,Com esporos,115.23809523809524,3,2
-24.79935323030429,-54.088223334790285,Com esporos,93.50877192982456,3,3
-24.616708584999945,-54.088223334790285,Com esporos,76.5482233502538,3,2
-24.434063939695594,-54.088223334790285,Com esporos,88.0,3,1
-24.251419294391248,-54.088223334790285,Com esporos,104.57061954327365,3,3
-24.0687746490869,-54.088223334790285,Encerrado sem esporos,-1,3,0
-23.88613000378255,-54.088223334790285,Encerrado sem esporos,-1,3,0
-23.703485358478208,-54.088223334790285,Encerrado sem esporos,-1,3,0
-25.89522110213038,-53.875427338306416,Encerrado sem esporos,-1,3,0
-25.712576456826035,-53.875427338306416,Com esporos,115.55555555555554,3,2
-25.52993181152169,-53.87542733830642,Com esporos,119.0,3,1
-25.34728716621733,-53.875427338306416,Encerrado sem esporos,-1,3,0
-25.16464252091299,-53.875427338306416,Com esporos,96.9118732437282,3,3
-24.98199787560864,-53.87542733830642,Com esporos,108.44163843547891,3,3
-24.79935323030429,-53.875427338306416,Com esporos,103.41013824884793,3,2
-24.616708584999945,-53.87542733830642,Com esporos,87.4183300534158,3,3
-24.434063939695594,-53.875427338306416,Com esporos,97.42574257425743,3,2
-24.251419294391248,-53.87542733830642,Com esporos,103.36283185840708,3,2
-24.0687746490869,-53.875427338306416,Encerrado sem esporos,-1,3,0
-23.88613000378255,-53.875427338306416,Encerrado sem esporos,-1,3,0
-23.703485358478208,-53.87542733830642,Encerrado sem esporos,-1,3,0
-23.520840713173857,-53.875427338306416,Encerrado sem esporos,-1,3,0
-23.33819606786951,-53.875427338306416,Encerrado sem esporos,-1,3,0
-26.260510392739075,-53.66263134182254,Encerrado sem esporos,-1,3,0
-26.07786574743473,-53.66263134182255,Encerrado sem esporos,-1,3,0
-25.89522110213038,-53.66263134182254,Com esporos,142.43356643356643,3,2
-25.712576456826035,-53.66263134182254,Com esporos,120.0,3,1
-25.52993181152169,-53.66263134182255,Com esporos,115.0,3,1
-25.34728716621733,-53.66263134182254,Encerrado sem esporos,-1,3,0
-25.16464252091299,-53.66263134182254,Com esporos,153.0,3,1
-24.98199787560864,-53.66263134182255,Com esporos,153.0,3,1
-24.79935323030429,-53.66263134182254,Com esporos,80.0,3,1
-24.616708584999945,-53.66263134182255,Com esporos,132.0,3,1
-24.434063939695594,-53.66263134182254,Encerrado sem esporos,-1,3,0
-24.251419294391248,-53.66263134182255,Com esporos,146.0,3,1
-24.0687746490869,-53.66263134182254,Encerrado sem esporos,-1,3,0
-23.88613000378255,-53.66263134182254,Encerrado sem esporos,-1,3,0
-23.703485358478208,-53.66263134182255,Encerrado sem esporos,-1,3,0
-23.520840713173857,-53.66263134182254,Encerrado sem esporos,-1,3,0
-23.33819606786951,-53.66263134182254,Encerrado sem esporos,-1,3,0
-23.155551422565164,-53.66263134182255,Encerrado sem esporos,-1,3,0
-22.97290677726081,-53.66263134182254,Encerrado sem esporos,-1,3,0
