Method,Number of Days,Distance function,Days function,Base,Radius,Train file used,Test file used,TPP,TNP,FPP,FNP
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,arithmetic_mean_31_23,0,0,0,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,geometric_mean_31_23,0,0,0,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,harmonic_mean_31_23,0,0,0,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,arithmetic_mean_31_23,12.060035010083697,0,26.595347337457355,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,geometric_mean_31_23,13.067474179927421,0,27.58651164971751,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,harmonic_mean_31_23,13.90634857026062,0,28.733691026389213,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,arithmetic_mean_31_23,23.60766859435521,0,38.628494456056735,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,geometric_mean_31_23,24.6917805796527,0,39.47890502035029,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,harmonic_mean_31_23,26.719866208991373,0,40.49718382567137,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,arithmetic_mean_31_23,27.58253250321261,0,46.9577561665539,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,geometric_mean_31_23,29.22176575510418,0,47.58937345939394,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,harmonic_mean_31_23,31.91200885670325,0,48.416573961261875,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,arithmetic_mean_31_23,30.479394982816153,0,51.988532260788205,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,geometric_mean_31_23,31.71375740341406,0,52.860589624822296,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,harmonic_mean_31_23,33.238398308621115,0,53.6705637362298,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,arithmetic_mean_31_23,30.820443075979803,0,57.333128545946096,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,geometric_mean_31_23,32.100515745968444,0,58.09071292242032,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,harmonic_mean_31_23,33.0218229709333,0,59.04502039113621,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,arithmetic_mean_31_23,31.779904411331366,0,59.45725434578713,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,geometric_mean_31_23,32.783576451964144,0,60.21772603064555,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,harmonic_mean_31_23,33.50281960914356,0,61.22245241122968,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,arithmetic_mean_31_23,32.29683650372197,0,60.97795834159071,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,geometric_mean_31_23,32.838643727017136,0,61.784713944413326,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,harmonic_mean_31_23,33.65908972835823,0,62.808885839114176,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,arithmetic_mean_31_23,32.57577616359356,0,62.23686069579902,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,geometric_mean_31_23,33.01216248263803,0,63.02093470730273,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,harmonic_mean_31_23,33.34922109346765,0,63.898831982634384,0
