Method,Number of Days,Distance function,Days function,Base,Radius,Train file used,Test file used,TPP,TNP,FPP,FNP
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,169323466473.21405,20,None,arithmetic_mean_31_23,0,0,0,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,169323466473.21405,20,None,geometric_mean_31_23,0,0,0,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,169323466473.21405,20,None,harmonic_mean_31_23,0,0,0,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,961554092.8640003,25,None,arithmetic_mean_31_23,16.310479638310643,0,29.235588349958416,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,961554092.8640003,25,None,geometric_mean_31_23,18.173267028218003,0,29.716845544083395,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,961554092.8640003,25,None,harmonic_mean_31_23,20.688516766064247,0,30.58513446840557,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,30606342.505,30,None,arithmetic_mean_31_23,27.35920897594581,0,40.86143833563795,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,30606342.505,30,None,geometric_mean_31_23,28.567519262484364,0,41.26230076945216,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,30606342.505,30,None,harmonic_mean_31_23,29.36942983320232,0,42.12623551078187,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,2608613.8780000005,35,None,arithmetic_mean_31_23,32.252700894279315,0,51.0055777882894,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,2608613.8780000005,35,None,geometric_mean_31_23,33.21614799956352,0,51.707510737480554,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,2608613.8780000005,35,None,harmonic_mean_31_23,33.53481974851387,0,52.506620587116934,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,411489.3269999999,40,None,arithmetic_mean_31_23,33.33889726291304,0,61.260732125999745,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,411489.3269999999,40,None,geometric_mean_31_23,34.346856755456464,0,61.982903837253055,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,411489.3269999999,40,None,harmonic_mean_31_23,35.26138018892529,0,62.873277946633266,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,97845.52200000003,45,None,arithmetic_mean_31_23,36.50043320197206,0,70.25123974984736,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,97845.52200000003,45,None,geometric_mean_31_23,37.30117964232699,0,70.97699435599291,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,97845.52200000003,45,None,harmonic_mean_31_23,38.206150410149455,0,71.91429399273397,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,31008.934999999983,50,None,arithmetic_mean_31_23,40.22506128715724,0,79.47659772410252,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,31008.934999999983,50,None,geometric_mean_31_23,40.683469775099695,0,80.248117454739,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,31008.934999999983,50,None,harmonic_mean_31_23,41.179421019057806,0,81.14389293684859,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,12110.717000000004,55,None,arithmetic_mean_31_23,44.898284220289824,0,87.04010161954562,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,12110.717000000004,55,None,geometric_mean_31_23,44.70768699744686,0,87.83583059375412,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,12110.717000000004,55,None,harmonic_mean_31_23,45.43464206610448,0,88.69589358285725,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,5532.2990000000045,60,None,arithmetic_mean_31_23,47.867910204994644,0,92.89959267686069,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,5532.2990000000045,60,None,geometric_mean_31_23,48.21613083057048,0,93.69696527516325,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,5532.2990000000045,60,None,harmonic_mean_31_23,48.93089583313177,0,94.5516671004763,0
