Method,Number of Days,Distance function,Days function,Base,Radius,Train file used,Test file used,TPP,TNP,FPP,FNP,rai,rpc,proportionSeg,proportionLarg
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,169323466473.21405,20,None,arithmetic_mean_31_23,10.333333333333343,0,16.749086986866388,0,0.02680893922398134,0.19029071072195844,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,169323466473.21405,20,None,geometric_mean_31_23,18.283518546288832,0,16.1245154965971,0,0.02680893922398134,0.19029071072195844,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,169323466473.21405,20,None,harmonic_mean_31_23,24.268227700336467,0,15.647851710630912,0,0.02680893922398134,0.19029071072195844,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,961554092.8640003,25,None,arithmetic_mean_31_23,4.770278351999556,0,18.66554148757518,0,0.033511174029977546,0.23786338840245425,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,961554092.8640003,25,None,geometric_mean_31_23,7.51039538801467,0,18.450912449327973,0,0.033511174029977546,0.23786338840245425,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,961554092.8640003,25,None,harmonic_mean_31_23,24.268227700336467,0,17.81890887550395,0,0.033511174029977546,0.23786338840245425,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,30606342.505,30,None,arithmetic_mean_31_23,7.961340120101422,0,20.10044222841323,0,0.040213408836010864,0.2854360660832135,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,30606342.505,30,None,geometric_mean_31_23,9.37988615151824,0,20.11585297678442,0,0.040213408836010864,0.2854360660832135,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,30606342.505,30,None,harmonic_mean_31_23,10.259891842517444,0,19.74823681098789,0,0.040213408836010864,0.2854360660832135,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,2608613.8780000005,35,None,arithmetic_mean_31_23,6.377894341542832,0,20.10044222841323,0,0.046915643642967984,0.33300874377052986,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,2608613.8780000005,35,None,geometric_mean_31_23,6.981732985941943,0,20.11585297678442,0,0.046915643642967984,0.33300874377052986,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,2608613.8780000005,35,None,harmonic_mean_31_23,8.680267809567265,0,19.74823681098789,0,0.046915643642967984,0.33300874377052986,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,411489.3269999999,40,None,arithmetic_mean_31_23,6.437982529303652,0,26.64971307926611,0,0.05361787845088127,0.38058142146463314,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,411489.3269999999,40,None,geometric_mean_31_23,8.480066858084204,0,22.637127919406215,0,0.05361787845088127,0.38058142146463314,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,411489.3269999999,40,None,harmonic_mean_31_23,8.812015426054426,0,22.555813128378965,0,0.05361787845088127,0.38058142146463314,1.06,1.04
