Method,Number of Days,Distance function,Days function,Base,Radius,Train file used,Test file used,TPP,TNP,FPP,FNP
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2021_31_23,0,0,0,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2122_31_23,0,0,0,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2223_31_23,0,0,0,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2021_31_23,35.0,0,46.879904972131484,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2122_31_23,30.44256887977754,0,39.10269598548587,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2223_31_23,17.4928556845359,0,36.70647190026684,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2021_31_23,26.13426869074396,0,65.02553545675659,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2122_31_23,36.84698088039236,0,50.406213979696886,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2223_31_23,34.53569581917072,0,47.745222789433065,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2021_31_23,25.064678239269206,0,72.07056727032656,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2122_31_23,36.95545808609252,0,56.33208414131066,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2223_31_23,28.89400692814405,0,52.815886408758274,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2021_31_23,23.48758537327042,0,78.43061249033923,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2122_31_23,36.00333317902663,0,59.83698443172377,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2223_31_23,32.27670544348841,0,56.081771089576776,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2021_31_23,23.425858219782118,0,82.22939990140264,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2122_31_23,37.1553124247302,0,64.01842147983699,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2223_31_23,33.301222628777886,0,60.5385269230193,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2021_31_23,23.400854685246006,0,84.2715429196481,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2122_31_23,39.30818405031366,0,66.13892566350549,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2223_31_23,35.339380227612864,0,62.95784842230635,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2021_31_23,24.01305615017884,0,84.19350609400637,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2122_31_23,40.62098615406859,0,66.82205055726715,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2223_31_23,37.68023354492379,0,64.03707583667497,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2021_31_23,24.39754085968502,0,87.24021776490399,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2122_31_23,40.670122000424485,0,68.02413556134267,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2223_31_23,35.6411063456013,0,65.1548791218378,0
