Method,Number of Days,Distance function,Days function,Base,Radius,Train file used,Test file used,TPP,TNP,FPP,FNP,rai,rpc,proportionSeg,proportionLarg
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2021_31_23,0,0,0,0,0.02528203130967092,0.17945266935845675,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2122_31_23,0,0,0,0,0.02528203130967092,0.17945266935845675,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2223_31_23,0,0,0,0,0.02528203130967092,0.17945266935845675,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2021_31_23,0,0,27.139070506965833,0,0.03160253913708888,0.22431583669807256,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2122_31_23,31.464265445104548,0,20.435663104744417,0,0.03160253913708888,0.22431583669807256,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2223_31_23,18.371173070873837,0,19.64510390725592,0,0.03160253913708888,0.22431583669807256,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2021_31_23,0,0,27.163443790716755,0,0.03792304696452147,0.2691790040377922,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2122_31_23,31.464265445104548,0,20.597998713962678,0,0.03792304696452147,0.2691790040377922,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2223_31_23,18.371173070873837,0,19.751139888161404,0,0.03792304696452147,0.2691790040377922,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2021_31_23,0,0,28.282927712667938,0,0.044243554791990554,0.3140421713777709,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2122_31_23,27.290108097990377,0,20.81694938087962,0,0.044243554791990554,0.3140421713777709,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2223_31_23,18.371173070873837,0,20.20122455902638,0,0.044243554791990554,0.3140421713777709,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2021_31_23,0,0,28.461201661208896,0,0.050564062621546155,0.35890533873255975,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2122_31_23,27.3221521846285,0,20.958363773162084,0,0.050564062621546155,0.35890533873255975,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2223_31_23,18.371173070873837,0,20.320847475075027,0,0.050564062621546155,0.35890533873255975,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2021_31_23,0,0,30.992645277592583,0,0.056884570456112976,0.4037685061229184,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2122_31_23,27.363296585024255,0,21.238462495120178,0,0.056884570456112976,0.4037685061229184,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2223_31_23,18.86001060445089,0,22.97731129902657,0,0.056884570456112976,0.4037685061229184,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2021_31_23,19.0,0,34.18954408770209,0,0.06320507836084757,0.4486316740113302,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2122_31_23,29.778347838656195,0,23.70548081749304,0,0.06320507836084757,0.4486316740113302,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2223_31_23,19.15202339179858,0,25.390099307744798,0,0.06320507836084757,0.4486316740113302,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2021_31_23,22.0,0,35.56734507994708,0,0.06952558642786895,0.49349484305165875,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2122_31_23,31.2929704566377,0,26.09693150328297,0,0.06952558642786895,0.49349484305165875,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2223_31_23,19.222382786741086,0,25.71094741353201,0,0.06952558642786895,0.49349484305165875,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2021_31_23,24.0,0,35.99411863869675,0,0.07584609398144782,0.538358008447556,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2122_31_23,31.678068122914315,0,26.27771436836258,0,0.07584609398144782,0.538358008447556,1.01,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2223_31_23,19.222382786741086,0,26.111151899545273,0,0.07584609398144782,0.538358008447556,1.01,1.04
