Method,Number of Days,Distance function,Days function,Base,Train file used,Test file used,TPP,TNP,FPP,FNP
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,1000000,2021-2122,coletoressafra2223_31_23,32.112525371173874,0,56.43756731978377,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,1000000,2021-2223,coletoressafra2122_31_23,35.87645467434038,0,59.38186492821644,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,1000000,2122-2223,coletoressafra2021_31_23,23.42600644108547,0,78.07429232437025,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,900000,2021-2122,coletoressafra2223_31_23,32.27670544348841,0,56.081771089576776,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,900000,2021-2223,coletoressafra2122_31_23,36.00333317902663,0,59.83698443172377,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,900000,2122-2223,coletoressafra2021_31_23,23.48758537327042,0,78.43061249033923,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,800000,2021-2122,coletoressafra2223_31_23,32.63269613658757,0,56.6681705492427,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,800000,2021-2223,coletoressafra2122_31_23,36.49273900380732,0,60.230599749619216,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,800000,2122-2223,coletoressafra2021_31_23,23.96583215978763,0,79.07218067119156,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,700000,2021-2122,coletoressafra2223_31_23,32.599449963627215,0,57.17090236558005,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,700000,2021-2223,coletoressafra2122_31_23,36.903658355236274,0,60.4804993745728,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,700000,2122-2223,coletoressafra2021_31_23,24.276188608044166,0,79.75853803978545,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,600000,2021-2122,coletoressafra2223_31_23,32.634848449676205,0,57.43592703426762,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,600000,2021-2223,coletoressafra2122_31_23,37.32934502506038,0,61.09645769483811,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,600000,2122-2223,coletoressafra2021_31_23,24.606345161811866,0,80.47126437582489,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,500000,2021-2122,coletoressafra2223_31_23,32.584876761288925,0,58.092139592757775,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,500000,2021-2223,coletoressafra2122_31_23,37.16801768270052,0,61.950994457601034,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,500000,2122-2223,coletoressafra2021_31_23,24.158132887609188,0,81.34821268667845,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,400000,2021-2122,coletoressafra2223_31_23,33.20318678836755,0,58.80810628585918,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,400000,2021-2223,coletoressafra2122_31_23,36.904782386067026,0,62.437132222948776,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,400000,2122-2223,coletoressafra2021_31_23,23.618495577265996,0,82.10546459933815,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,300000,2021-2122,coletoressafra2223_31_23,32.46763093949926,0,59.471072053688026,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,300000,2021-2223,coletoressafra2122_31_23,37.44180669904818,0,62.3262558009236,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,300000,2122-2223,coletoressafra2021_31_23,23.782444179747184,0,81.13705825467314,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,200000,2021-2122,coletoressafra2223_31_23,33.28792144736157,0,60.52898471697324,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,200000,2021-2223,coletoressafra2122_31_23,37.1553124247302,0,63.99753504611415,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,200000,2122-2223,coletoressafra2021_31_23,23.425858219782118,0,82.20455118358178,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,100000,2021-2122,coletoressafra2223_31_23,33.616998142347036,0,61.985432422458096,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,100000,2021-2223,coletoressafra2122_31_23,38.675038729000065,0,66.10136628693843,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,100000,2122-2223,coletoressafra2021_31_23,23.050797940945248,0,83.56660972463563,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,100000000,2021-2122,coletoressafra2223_31_23,33.5793303770553,0,47.321483859296606,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,100000000,2021-2223,coletoressafra2122_31_23,36.7396243856684,0,49.85308513108671,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,100000000,2122-2223,coletoressafra2021_31_23,25.869329759818328,0,64.49481916670831,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,90000000,2021-2122,coletoressafra2223_31_23,34.05457804340388,0,47.53059520261618,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,90000000,2021-2223,coletoressafra2122_31_23,36.774991502378356,0,50.12634522321464,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,90000000,2122-2223,coletoressafra2021_31_23,25.99786316005392,0,64.75438764249299,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,80000000,2021-2122,coletoressafra2223_31_23,30.802236571031298,0,48.20026581876909,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,80000000,2021-2223,coletoressafra2122_31_23,37.573927130391894,0,50.96200755064731,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,80000000,2122-2223,coletoressafra2021_31_23,26.77893035785991,0,65.69109727686019,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,70000000,2021-2122,coletoressafra2223_31_23,31.65613860076922,0,47.3604773499467,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,70000000,2021-2223,coletoressafra2122_31_23,37.7385744298854,0,51.534887796464396,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,70000000,2122-2223,coletoressafra2021_31_23,27.067816067549053,0,66.25021889222687,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,60000000,2021-2122,coletoressafra2223_31_23,30.774989845652264,0,47.85104625540832,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,60000000,2021-2223,coletoressafra2122_31_23,36.76584383265632,0,52.13029165170964,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,60000000,2122-2223,coletoressafra2021_31_23,25.213632676139166,0,67.19233927700643,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,50000000,2021-2122,coletoressafra2223_31_23,30.458615738855777,0,48.567464018116894,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,50000000,2021-2223,coletoressafra2122_31_23,37.659961859682326,0,52.28412406868484,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,50000000,2122-2223,coletoressafra2021_31_23,24.998333277774073,0,68.43001290856715,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,40000000,2021-2122,coletoressafra2223_31_23,30.24896692450835,0,48.947381480996036,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,40000000,2021-2223,coletoressafra2122_31_23,38.58049436508746,0,53.43436610910137,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,40000000,2122-2223,coletoressafra2021_31_23,24.87661861761268,0,69.67665750670874,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,30000000,2021-2122,coletoressafra2223_31_23,30.129208930359102,0,49.511379624574865,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,30000000,2021-2223,coletoressafra2122_31_23,37.84397794453784,0,54.6026047404741,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,30000000,2122-2223,coletoressafra2021_31_23,25.772674855954886,0,70.9318000718853,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,20000000,2021-2122,coletoressafra2223_31_23,31.17118632876935,0,51.70854835133878,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,20000000,2021-2223,coletoressafra2122_31_23,36.796738985948195,0,56.213556763150685,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,20000000,2122-2223,coletoressafra2021_31_23,24.95996794869737,0,73.47686488414305,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,10000000,2021-2122,coletoressafra2223_31_23,30.443025108845177,0,52.13202917840115,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,10000000,2021-2223,coletoressafra2122_31_23,38.28837943815329,0,55.200735612138466,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,10000000,2122-2223,coletoressafra2021_31_23,24.745706698334562,0,70.49761353062608,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9000000,2021-2122,coletoressafra2223_31_23,30.544139281447176,0,51.73001039922198,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9000000,2021-2223,coletoressafra2122_31_23,38.28837943815329,0,54.93347401324787,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9000000,2122-2223,coletoressafra2021_31_23,24.745706698334562,0,70.43646569018587,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,8000000,2021-2122,coletoressafra2223_31_23,31.025974780997792,0,51.952765281159785,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,8000000,2021-2223,coletoressafra2122_31_23,37.31286641361127,0,55.21318951388605,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,8000000,2122-2223,coletoressafra2021_31_23,24.943937139112585,0,70.91002173737996,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,7000000,2021-2122,coletoressafra2223_31_23,28.80893169582214,0,52.88100980129625,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,7000000,2021-2223,coletoressafra2122_31_23,36.95545808609252,0,56.19041700292821,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,7000000,2122-2223,coletoressafra2021_31_23,25.064678239269206,0,71.94363833428355,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6000000,2021-2122,coletoressafra2223_31_23,29.32963130909205,0,52.577462233201416,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6000000,2021-2223,coletoressafra2122_31_23,37.20768421584287,0,55.00157826018369,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6000000,2122-2223,coletoressafra2021_31_23,24.68989487808543,0,71.77578392393033,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,5000000,2021-2122,coletoressafra2223_31_23,29.50976257031767,0,53.29580216804727,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,5000000,2021-2223,coletoressafra2122_31_23,35.9297560306364,0,55.89824499126469,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,5000000,2122-2223,coletoressafra2021_31_23,25.419212490483723,0,72.74566610577413,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,4000000,2021-2122,coletoressafra2223_31_23,30.073822214821575,0,53.10041083913491,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,4000000,2021-2223,coletoressafra2122_31_23,35.297308679274686,0,56.43113150327331,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,4000000,2122-2223,coletoressafra2021_31_23,25.072070031255375,0,72.30943798934567,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3000000,2021-2122,coletoressafra2223_31_23,31.44145698582215,0,53.34651876017578,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3000000,2021-2223,coletoressafra2122_31_23,36.41702898370486,0,58.04472823771747,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3000000,2122-2223,coletoressafra2021_31_23,24.98959783589964,0,72.80365752501454,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,2000000,2021-2122,coletoressafra2223_31_23,31.595569309635806,0,54.00056689044844,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,2000000,2021-2223,coletoressafra2122_31_23,35.9513560244951,0,57.11494169144514,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,2000000,2122-2223,coletoressafra2021_31_23,24.609086591280523,0,74.63021032184572,0
