Method,Number of Days,Distance function,Days function,Base,RAI,RPC,Start day,End day,Test time,Test duration,File used,TPP,TNP,FPP,FNP
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,18,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:05:19.669344,11.151528596878052,coletoressafra2021_31_23,33.74353295462944,0,78.43458420875322,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,180,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:05:37.049599,17.377256393432617,coletoressafra2021_31_23,18.888283408874454,0,67.15810938704065,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,1800,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:05:59.233602,22.176998376846313,coletoressafra2021_31_23,12.688885976566711,0,59.17404392170982,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,18000,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:06:25.555510,26.313292503356934,coletoressafra2021_31_23,9.071944701250885,0,54.47954273056711,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,180000,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:06:54.955288,29.39977788925171,coletoressafra2021_31_23,6.57465841267945,0,50.20494230535534,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,30,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:07:52.066358,12.710724115371704,coletoressafra2021_31_23,32.007113030588144,0,75.80669922495584,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,300,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:08:10.824418,18.757059574127197,coletoressafra2021_31_23,18.054457719602237,0,65.54123868415951,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,3000,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:08:34.358995,23.534577131271362,coletoressafra2021_31_23,12.077780272392076,0,57.78091733956939,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,30000,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:09:01.704147,27.34014654159546,coletoressafra2021_31_23,8.681008823146392,0,54.080200834230844,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,300000,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:09:32.386616,30.682470083236694,coletoressafra2021_31_23,6.289710400719232,0,49.57171905380364,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,70,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:09:47.661560,15.274943351745605,coletoressafra2021_31_23,11.990018980933458,0,71.54773733110758,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,700,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:10:08.475197,20.80163836479187,coletoressafra2021_31_23,8.899489735922618,0,62.76770853631132,0
Circular Growth no touch,100,logaritmic_growth_distance,logaritmic_growth_days,7000,,,2020-12-11 00:00:00,2021-03-20 00:00:00,2023-06-13 20:10:33.156593,24.681396484375,coletoressafra2021_31_23,6.850234365593105,0,56.088526276973795,0
