Method,Number of Days,Distance function,Days function,Base,Train file used,Test file used,TPP,TNP,FPP,FNP
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1000000,2021-2122,coletoressafra2223_31_23,34.95711658589707,0,58.24920482730815,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1000000,2021-2223,coletoressafra2122_31_23,35.23689669776396,0,60.734292792356236,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1000000,2122-2223,coletoressafra2021_31_23,23.821802217077643,0,77.51118047476473,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,900000,2021-2122,coletoressafra2223_31_23,34.95711658589707,0,58.24920482730815,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,900000,2021-2223,coletoressafra2122_31_23,35.23689669776396,0,60.734292792356236,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,900000,2122-2223,coletoressafra2021_31_23,23.821802217077643,0,77.51118047476473,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,800000,2021-2122,coletoressafra2223_31_23,35.04166616111367,0,59.12637150617845,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,800000,2021-2223,coletoressafra2122_31_23,34.916383635105255,0,62.552700140284074,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,800000,2122-2223,coletoressafra2021_31_23,23.83574746348134,0,78.38239951683427,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,700000,2021-2122,coletoressafra2223_31_23,36.07956061092695,0,59.9131148692282,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,700000,2021-2223,coletoressafra2122_31_23,35.15501386715699,0,63.25266985123238,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,700000,2122-2223,coletoressafra2021_31_23,24.269742647240108,0,78.98655602732563,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,600000,2021-2122,coletoressafra2223_31_23,35.45027816847453,0,60.57218399301952,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,600000,2021-2223,coletoressafra2122_31_23,35.422192299702076,0,64.02514566253195,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,600000,2122-2223,coletoressafra2021_31_23,24.260029258181927,0,79.53981372377682,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,500000,2021-2122,coletoressafra2223_31_23,35.63004350263974,0,62.09560555921017,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,500000,2021-2223,coletoressafra2122_31_23,36.15245496505044,0,66.04842337837619,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,500000,2122-2223,coletoressafra2021_31_23,24.182262470286318,0,80.81475354317368,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,400000,2021-2122,coletoressafra2223_31_23,36.78654645383282,0,63.03575567490639,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,400000,2021-2223,coletoressafra2122_31_23,36.86720054724085,0,66.86213605692865,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,400000,2122-2223,coletoressafra2021_31_23,24.03230584313397,0,81.41469247339595,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,300000,2021-2122,coletoressafra2223_31_23,37.72127697788219,0,63.885038941164765,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,300000,2021-2223,coletoressafra2122_31_23,37.61047219921094,0,67.73970366653657,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,300000,2122-2223,coletoressafra2021_31_23,24.370028828147614,0,82.342871734408,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,200000,2021-2122,coletoressafra2223_31_23,38.93434644800569,0,66.70297993198366,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,200000,2021-2223,coletoressafra2122_31_23,39.20103225978314,0,70.85044140108776,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,200000,2122-2223,coletoressafra2021_31_23,24.78186080583942,0,84.75973552316836,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,100000,2021-2122,coletoressafra2223_31_23,40.523440793340136,0,70.99646117941373,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,100000,2021-2223,coletoressafra2122_31_23,40.258539466801324,0,75.33675163417249,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,100000,2122-2223,coletoressafra2021_31_23,25.60177150560781,0,88.67773531580936,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,10000000,2021-2122,coletoressafra2223_31_23,31.288383834307627,0,48.709144480412974,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,10000000,2021-2223,coletoressafra2122_31_23,32.462687611418154,0,50.19460510729238,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,10000000,2122-2223,coletoressafra2021_31_23,23.821383950839913,0,66.86863250238376,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,9000000,2021-2122,coletoressafra2223_31_23,31.288383834307627,0,48.709144480412974,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,9000000,2021-2223,coletoressafra2122_31_23,32.462687611418154,0,50.19460510729238,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,9000000,2122-2223,coletoressafra2021_31_23,23.821383950839913,0,66.86863250238376,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,8000000,2021-2122,coletoressafra2223_31_23,31.16373808496939,0,48.86647320392409,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,8000000,2021-2223,coletoressafra2122_31_23,32.10853988167841,0,50.356088696301754,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,8000000,2122-2223,coletoressafra2021_31_23,24.066747460621542,0,67.28504343510298,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,7000000,2021-2122,coletoressafra2223_31_23,30.716707652876114,0,49.37831034439648,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,7000000,2021-2223,coletoressafra2122_31_23,31.822826833773075,0,51.140916032888256,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,7000000,2122-2223,coletoressafra2021_31_23,24.023225941063465,0,68.43155516972202,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,6000000,2021-2122,coletoressafra2223_31_23,31.190879560248625,0,49.741201199550794,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,6000000,2021-2223,coletoressafra2122_31_23,32.18814879853955,0,51.51311685832274,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,6000000,2122-2223,coletoressafra2021_31_23,23.83508152096634,0,68.7153594406153,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,5000000,2021-2122,coletoressafra2223_31_23,30.5520632924942,0,50.907660576408105,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,5000000,2021-2223,coletoressafra2122_31_23,32.062996027909094,0,52.899191711932716,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,5000000,2122-2223,coletoressafra2021_31_23,24.340589263908253,0,69.86516065094872,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,4000000,2021-2122,coletoressafra2223_31_23,30.74943540583758,0,51.19314717574032,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,4000000,2021-2223,coletoressafra2122_31_23,32.46756623374868,0,53.17678392717267,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,4000000,2122-2223,coletoressafra2021_31_23,24.62214450449026,0,70.40598737397251,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,3000000,2021-2122,coletoressafra2223_31_23,32.39077279353122,0,52.602792048932955,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,3000000,2021-2223,coletoressafra2122_31_23,32.950973683135174,0,54.83100298999544,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,3000000,2122-2223,coletoressafra2021_31_23,24.642606690772975,0,72.2257056217006,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,2000000,2021-2122,coletoressafra2223_31_23,33.40883116782148,0,54.54316200715843,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,2000000,2021-2223,coletoressafra2122_31_23,33.6693480780368,0,56.22070458488481,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,2000000,2122-2223,coletoressafra2021_31_23,24.477978441273056,0,73.88973529832232,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,100000000,2021-2122,coletoressafra2223_31_23,33.080205561634585,0,43.111710302624175,0
