Method,Number of Days,Distance function,Days function,Base,Train file used,Test file used,TPP,TNP,FPP,FNP
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,720,None,coletoressafra2021_31_23,34.52382233969885,0,99.763543192213,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,720,None,coletoressafra2122_31_23,42.194291189155244,0,78.96287305500552,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,720,None,coletoressafra2223_31_23,51.14956842941555,0,93.46592593210013,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,172,None,coletoressafra2021_31_23,30.59238972265961,0,112.77481425459645,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,172,None,coletoressafra2122_31_23,50.72327617838438,0,101.40965156824403,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,172,None,coletoressafra2223_31_23,57.49648129081242,0,108.35987296488271,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,916,None,coletoressafra2021_31_23,34.52382233969885,0,99.763543192213,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,916,None,coletoressafra2122_31_23,42.194291189155244,0,78.96287305500552,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,916,None,coletoressafra2223_31_23,51.14956842941555,0,93.46592593210013,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1134,None,coletoressafra2021_31_23,38.251521038889656,0,96.53122695676139,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1134,None,coletoressafra2122_31_23,41.92263663805709,0,75.35716180206354,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1134,None,coletoressafra2223_31_23,50.93284440491477,0,89.71103034475327,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,899,None,coletoressafra2021_31_23,34.52382233969885,0,99.763543192213,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,899,None,coletoressafra2122_31_23,42.194291189155244,0,78.96287305500552,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,899,None,coletoressafra2223_31_23,51.14956842941555,0,93.46592593210013,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,642,None,coletoressafra2021_31_23,34.16435645570571,0,101.83452185418184,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,642,None,coletoressafra2122_31_23,43.01405532176524,0,85.46262394604508,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,642,None,coletoressafra2223_31_23,51.74561090008196,0,95.35506630457942,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,528,None,coletoressafra2021_31_23,31.547228757474446,0,104.99929453025793,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,528,None,coletoressafra2122_31_23,44.68613595141849,0,89.2976930365582,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,528,None,coletoressafra2223_31_23,52.82162162732423,0,99.28701491156465,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,589,None,coletoressafra2021_31_23,31.547228757474446,0,104.99929453025793,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,589,None,coletoressafra2122_31_23,44.68613595141849,0,89.2976930365582,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,589,None,coletoressafra2223_31_23,52.82162162732423,0,99.28701491156465,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1188,None,coletoressafra2021_31_23,38.251521038889656,0,96.53122695676139,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1188,None,coletoressafra2122_31_23,41.92263663805709,0,75.35716180206354,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1188,None,coletoressafra2223_31_23,50.93284440491477,0,89.71103034475327,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,647,None,coletoressafra2021_31_23,34.16435645570571,0,101.83452185418184,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,647,None,coletoressafra2122_31_23,43.01405532176524,0,85.46262394604508,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,647,None,coletoressafra2223_31_23,51.74561090008196,0,95.35506630457942,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,702,None,coletoressafra2021_31_23,34.52382233969885,0,99.763543192213,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,702,None,coletoressafra2122_31_23,42.194291189155244,0,78.96287305500552,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,702,None,coletoressafra2223_31_23,51.14956842941555,0,93.46592593210013,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1196,None,coletoressafra2021_31_23,38.251521038889656,0,96.53122695676139,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1196,None,coletoressafra2122_31_23,41.92263663805709,0,75.35716180206354,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1196,None,coletoressafra2223_31_23,50.93284440491477,0,89.71103034475327,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1049,None,coletoressafra2021_31_23,38.251521038889656,0,96.53122695676139,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1049,None,coletoressafra2122_31_23,41.92263663805709,0,75.35716180206354,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1049,None,coletoressafra2223_31_23,50.93284440491477,0,89.71103034475327,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,907,None,coletoressafra2021_31_23,34.52382233969885,0,99.763543192213,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,907,None,coletoressafra2122_31_23,42.194291189155244,0,78.96287305500552,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,907,None,coletoressafra2223_31_23,51.14956842941555,0,93.46592593210013,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,493,None,coletoressafra2021_31_23,31.547228757474446,0,104.99929453025793,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,493,None,coletoressafra2122_31_23,44.68613595141849,0,89.2976930365582,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,493,None,coletoressafra2223_31_23,52.82162162732423,0,99.28701491156465,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1020,None,coletoressafra2021_31_23,34.52382233969885,0,99.763543192213,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1020,None,coletoressafra2122_31_23,42.194291189155244,0,78.96287305500552,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1020,None,coletoressafra2223_31_23,51.14956842941555,0,93.46592593210013,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,519,None,coletoressafra2021_31_23,31.547228757474446,0,104.99929453025793,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,519,None,coletoressafra2122_31_23,44.68613595141849,0,89.2976930365582,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,519,None,coletoressafra2223_31_23,52.82162162732423,0,99.28701491156465,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,775,None,coletoressafra2021_31_23,34.52382233969885,0,99.763543192213,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,775,None,coletoressafra2122_31_23,42.194291189155244,0,78.96287305500552,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,775,None,coletoressafra2223_31_23,51.14956842941555,0,93.46592593210013,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,175,None,coletoressafra2021_31_23,30.17051810296976,0,110.81138940183008,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,175,None,coletoressafra2122_31_23,47.3363638578586,0,93.90762589819244,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,175,None,coletoressafra2223_31_23,56.488298213449006,0,106.45394943238928,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,935,None,coletoressafra2021_31_23,34.52382233969885,0,99.763543192213,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,935,None,coletoressafra2122_31_23,42.194291189155244,0,78.96287305500552,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,935,None,coletoressafra2223_31_23,51.14956842941555,0,93.46592593210013,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1500,None,coletoressafra2021_31_23,38.251521038889656,0,96.53122695676139,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1500,None,coletoressafra2122_31_23,41.92263663805709,0,75.35716180206354,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1500,None,coletoressafra2223_31_23,50.93284440491477,0,89.71103034475327,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1600,None,coletoressafra2021_31_23,38.251521038889656,0,96.53122695676139,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1600,None,coletoressafra2122_31_23,41.92263663805709,0,75.35716180206354,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1600,None,coletoressafra2223_31_23,50.93284440491477,0,89.71103034475327,0
