Method,Number of Days,Distance function,Days function,Base,RAI,RPC,Start day,End day,Test time,Test duration,File used,TPP,TNP,FPP,FNP
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,80000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 17:55:41.278100,40.672239780426025,coletoressafra2021_31_23,23.036816517354072,0,84.82829204006634,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,800000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 17:56:25.570028,44.28892803192139,coletoressafra2021_31_23,14.761271096500911,0,79.07218067119156,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,80000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 17:56:46.676501,21.103004932403564,coletoressafra2122_31_23,19.046369832573486,0,66.9512054971811,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,800000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 17:57:08.934827,22.249412059783936,coletoressafra2122_31_23,14.952283471282497,0,60.230599749619216,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,80000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 17:57:34.315341,25.377513885498047,coletoressafra2223_31_23,15.65756432708364,0,62.506449883642226,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,800000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 17:58:01.744718,27.426376342773438,coletoressafra2223_31_23,11.75219789615556,0,56.6681705492427,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,83000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 17:58:42.272712,40.524994134902954,coletoressafra2021_31_23,10.628901550372184,0,84.45024261812911,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,830000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 17:59:26.401285,44.12557554244995,coletoressafra2021_31_23,8.01784881888032,0,78.6171954131801,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,83000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 17:59:47.278912,20.875808000564575,coletoressafra2122_31_23,11.471526614094255,0,66.5573158162181,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,830000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:00:09.522933,22.24101758003235,coletoressafra2122_31_23,9.454557527465186,0,59.89796392091592,0
