Method,Number of Days,Distance function,Days function,Base,Radius,Train file used,Test file used,TPP,TNP,FPP,FNP,rai,rpc,fpc
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2021_31_23,11.397137221342264,0,57.155524389633314,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2122_31_23,24.03683071391132,0,51.30579308099354,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2223_31_23,26.533917548824274,0,53.03584158482674,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2021_31_23,9.816369548418148,0,67.48525216118895,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2122_31_23,27.466165438634476,0,63.33910121812012,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2223_31_23,31.361372965572063,0,65.10818961298035,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2021_31_23,9.818895777311942,0,74.90890411255471,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2122_31_23,31.194550806190495,0,71.92907120492848,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2223_31_23,34.99637507880947,0,73.75423507920225,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2021_31_23,11.03522176501157,0,80.51410537304109,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2122_31_23,36.15992256628877,0,78.42130690154805,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2223_31_23,38.31806326789938,0,80.14449696697004,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2021_31_23,12.542360655427302,0,84.93938081183788,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2122_31_23,38.08261695689668,0,83.45873286686732,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2223_31_23,41.03953690946804,0,85.1370381851281,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2021_31_23,14.356824894545158,0,88.42789188650866,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2122_31_23,40.61255114302508,0,87.50340753522248,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2223_31_23,43.32863222362749,0,89.14945662068584,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2021_31_23,15.656813292274254,0,91.47015010257914,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2122_31_23,43.30883480785177,0,90.89315988434701,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2223_31_23,45.5829708215213,0,92.50402733876847,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2021_31_23,17.048710701556463,0,93.88220132095181,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2122_31_23,45.15697667440637,0,93.70875239394321,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2223_31_23,47.438682226939775,0,95.2362113935195,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2021_31_23,17.8331917298258,0,96.0396743414879,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2122_31_23,47.09978588601518,0,96.13071662532784,0,0.05,0.5,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2223_31_23,48.59461679660819,0,97.63293325088831,0,0.05,0.5,0.05
