Method,Number of Days,Distance function,Days function,Base,Radius,Train file used,Test file used,TPP,TNP,FPP,FNP,rai,rpc,fpc
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2021_31_23,11.397137221342264,0,57.16681706676499,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2122_31_23,24.10154798731018,0,51.321392431430745,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2223_31_23,26.62980175411403,0,53.05650394473272,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2021_31_23,9.851677804087766,0,67.50083283828751,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2122_31_23,27.55039727923905,0,63.341147111740824,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2223_31_23,31.361372965572063,0,65.10818961298035,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2021_31_23,9.821623374691463,0,74.93570436287223,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2122_31_23,31.18397024113511,0,71.94431141483062,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2223_31_23,34.99637507880947,0,73.75678978513685,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2021_31_23,11.03522176501157,0,80.5331441183523,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2122_31_23,36.15992256628877,0,78.4283989474979,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2223_31_23,38.31806326789938,0,80.14700164024342,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2021_31_23,12.542360655427302,0,84.94674646771196,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2122_31_23,38.11472343933697,0,83.46089014314572,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2223_31_23,41.03953690946804,0,85.14244801039004,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2021_31_23,14.356824894545158,0,88.43291780994763,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2122_31_23,40.61255114302508,0,87.50340753522248,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2223_31_23,43.32863222362749,0,89.14945662068584,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2021_31_23,15.656813292274254,0,91.48910653054064,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2122_31_23,43.30883480785177,0,90.89818126782386,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2223_31_23,45.5829708215213,0,92.50911285160578,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2021_31_23,17.048710701556463,0,93.89871273861135,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2122_31_23,45.183617850210915,0,93.7209037417221,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2223_31_23,47.45561836374819,0,95.24650414437339,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2021_31_23,17.8331917298258,0,96.0396743414879,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2122_31_23,47.11759540352382,0,96.13812454393776,0,0.05,0.5,0.1
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2223_31_23,48.63032023313245,0,97.64822003931916,0,0.05,0.5,0.1
