Method,Number of Days,Distance function,Days function,Base,Radius,Train file used,Test file used,TPP,TNP,FPP,FNP,rai,rpc,fpc
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2021_31_23,14.828909323484918,0,64.00072337554157,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2122_31_23,25.280646967811386,0,52.38920156260231,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,807003392603.5468,20,None,coletoressafra2223_31_23,25.912111067992896,0,56.109696395156604,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2021_31_23,14.440394731446922,0,72.26518258301583,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2122_31_23,29.492639581320695,0,64.02787523680173,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,3353515271.3289995,25,None,coletoressafra2223_31_23,31.957676752984966,0,67.07030720351878,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2021_31_23,13.902542995955308,0,78.47150933796149,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2122_31_23,31.46270746112473,0,72.41944274898415,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,86679601.69000001,30,None,coletoressafra2223_31_23,35.58234029931801,0,75.12536320740377,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2021_31_23,13.83493423928735,0,83.39394621044302,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2122_31_23,36.275092735114775,0,78.79730994802976,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,6366910.974999996,35,None,coletoressafra2223_31_23,38.758608459666476,0,81.15006169015074,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2021_31_23,14.646234844558215,0,87.29170218205891,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2122_31_23,38.46914347889747,0,83.74521758219933,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,898333.6750000002,40,None,coletoressafra2223_31_23,41.60575034221185,0,85.93364377823697,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2021_31_23,15.653201821759255,0,90.37552461665409,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2122_31_23,40.94550625842378,0,87.73058738719782,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,195859.48300000007,45,None,coletoressafra2223_31_23,43.555963440377624,0,89.76104018434373,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2021_31_23,16.264096449951754,0,93.11068966075017,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2122_31_23,43.626945169557615,0,91.09450431061322,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,57909.54299999999,50,None,coletoressafra2223_31_23,45.74853627635065,0,93.00655467128465,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2021_31_23,17.410152269921582,0,95.30294220878385,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2122_31_23,45.4101832826373,0,93.87045778111822,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,21368.440999999988,55,None,coletoressafra2223_31_23,47.524482854506005,0,95.63917720656514,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2021_31_23,18.35205655500167,0,97.25488793635633,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2122_31_23,47.351015237984036,0,96.26971381574342,0,0.05,1,0.05
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,9310.188000000004,60,None,coletoressafra2223_31_23,48.64002747457358,0,97.97114283086732,0,0.05,1,0.05
